User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0(threshold)_UnitMotion_time (second),0.05_(threshold)_UnitMotion_time (second),0.1_(threshold)_UnitMotion_time (second),percenatge of 0.1 th gesture usage time,0.15_(threshold)_UnitMotion_time (second),percenatge of 0.15 th gesture usage time,0.2_(threshold)_UnitMotion_time (second),percenatge of 0.2 th gesture usage time,0.25_(threshold)_UnitMotion_time (second),percenatge of 0.25 th gesture usage time,0.3_(threshold)_UnitMotion_time (second),percenatge of 0.3 th gesture usage time,0.35_(threshold)_UnitMotion_time (second),percenatge of 0.35 th gesture usage time,0.4_(threshold)_UnitMotion_time (second),percenatge of 0.4 th gesture usage time,0.45_(threshold)_UnitMotion_time (second),0.5_(threshold)_UnitMotion_time (second),0.1_threshold_UnitMotion_averageTime,0.15_threshold_UnitMotion_averageTime,0.2_threshold_UnitMotion_averageTime,0.25_threshold_UnitMotion_averageTime,0.3_threshold_UnitMotion_averageTime,0.35_threshold_UnitMotion_averageTime,0.4_threshold_UnitMotion_averageTime
10B,10,E-L1 vs E-L2,U2,wing,A,2,7,F,Non-Native,604.242,196.742,267.679,0.446131667,325.713,0.542855,423.761,0.706268333,196.511,0.327518333,411.767,0.686278333,363.989,0.606648333,117.518,0.195863333,0,0,2.368840708,6.031722222,15.13432143,14.0365,68.62783333,181.9945,117.518
10A,10,E-L1 vs E-L2,U1,thumb,F,3,7,M,Native,603.556,273.557,257.696,0.429493333,303.164,0.505273333,289.112,0.481853333,293.621,0.489368333,429.688,0.716146667,368.885,0.614808333,169.982,0.283303333,0,0,1.096578723,2.943339806,6.151319149,15.45373684,85.9376,122.9616667,84.991
10B,10,E-L1 vs E-L2,U2,thumb,F,3,7,F,Non-Native,603.572,205.142,286.871,0.478118333,160.086,0.26681,232.838,0.388063333,392.096,0.653493333,55.128,0.09188,7.011,0.011685,0,0,0,0,1.471133333,1.819159091,5.82095,28.00685714,11.0256,3.5055,0
11A,11,E-L1 vs E-L2,U1,wing,V,1,2,M,Native,603.596,301.692,287.937,0.479895,218.442,0.36407,247.703,0.412838333,169.857,0.283095,273.812,0.456353333,190.331,0.317218333,201.118,0.335196667,0.105,0.105,1.766484663,2.631831325,4.587092593,4.995794118,17.11325,27.19014286,100.559
11B,11,E-L1 vs E-L2,U2,wing,V,1,2,F,Non-Native,603.671,172.382,274.572,0.45762,330.13,0.550216667,339.37,0.565616667,232.896,0.38816,62.265,0.103775,0,0,0,0,0,0,3.308096386,9.170277778,19.96294118,23.2896,31.1325,0,0
11A,11,E-L1 vs E-L2,U1,thumb,A,2,2,M,Native,603.558,293.248,315.666,0.52611,262.605,0.437675,130.912,0.218186667,164.839,0.274731667,0,0,0,0,0,0,0,0,2.321073529,7.294583333,11.90109091,32.9678,0,0,0
11B,11,E-L1 vs E-L2,U2,thumb,A,2,2,F,Non-Native,603.635,326.229,305.515,0.509191667,378.024,0.63004,399.137,0.665228333,187.098,0.31183,0,0,0,0,0,0,0,0,6.1103,18.9012,57.01957143,93.549,0,0,0
11A,11,E-L1 vs E-L2,U1,eye,F,3,2,M,Native,604.601,322.623,237.003,0.395005,303.456,0.50576,242.915,0.404858333,362.704,0.604506667,98.545,0.164241667,96.39,0.16065,106.177,0.176961667,202.813,0,2.443329897,7.780923077,12.14575,27.90030769,14.07785714,24.0975,53.0885
11B,11,E-L1 vs E-L2,U2,eye,F,3,2,F,Non-Native,604.608,138.426,348.718,0.581196667,442.122,0.73687,303.738,0.50623,395.316,0.65886,227.376,0.37896,0,0,0,0,0,0,4.252658537,13.39763636,17.86694118,49.4145,75.792,0,0
12A,12,E-L1 vs E-L2,U1,thumb,V,1,6,F,Non-Native,603.971,242.186,263.467,0.439111667,272.377,0.453961667,253.813,0.423021667,203.676,0.33946,160.781,0.267968333,148.76,0.247933333,58.034,0.096723333,166.117,60.944,1.254604762,2.619009615,3.845651515,4.333531915,4.872151515,6.761818182,4.145285714
12B,12,E-L1 vs E-L2,U2,thumb,V,1,6,F,Native,603.429,274.261,276.569,0.460948333,243.514,0.405856667,223.833,0.373055,254.776,0.424626667,176.995,0.294991667,264.379,0.440631667,549.161,0.915268333,0.058,0.801,2.033595588,3.162519481,5.595825,14.15422222,19.66611111,66.09475,274.5805
12A,12,E-L1 vs E-L2,U1,eye,A,2,6,F,Non-Native,604.585,182.736,187.069,0.311781667,294.34,0.490566667,275.432,0.459053333,303.154,0.505256667,71.007,0.118345,218.797,0.364661667,0,0,0,0,1.798740385,7.3585,14.49642105,43.30771429,23.669,218.797,0
12B,12,E-L1 vs E-L2,U2,eye,A,2,6,F,Native,604.605,338.366,273.306,0.45551,319.995,0.533325,291.777,0.486295,231.381,0.385635,0.168,0.00028,0,0,0,0,0,0,2.397421053,6.3999,11.22219231,21.03463636,0.168,0,0
12A,12,E-L1 vs E-L2,U1,wing,F,3,6,F,Non-Native,603.55,299.149,341.311,0.568851667,191.288,0.318813333,351.858,0.58643,218.214,0.36369,527.687,0.879478333,0.1,0.000166667,117.857,0.196428333,117.857,0,1.854951087,2.942892308,18.51884211,27.27675,175.8956667,0.1,117.857
12B,12,E-L1 vs E-L2,U2,wing,F,3,6,F,Native,603.559,308.662,313.842,0.52307,339.841,0.566401667,322.368,0.53728,295.012,0.491686667,219.236,0.365393333,135.603,0.226005,0,0,0,0,1.937296296,4.144402439,7.163733333,14.7506,43.8472,135.603,0
13A,13,E-L1 vs E-L2,U1,eye,A,1,9,F,Non-Native,603.597,237.771,245.563,0.409271667,343.765,0.572941667,333.866,0.556443333,216.86,0.361433333,431.216,0.718693333,0,0,0,0,0,0,1.479295181,5.456587302,15.17572727,43.372,431.216,0,0
13B,13,E-L1 vs E-L2,U2,eye,A,1,9,M,Native,604.581,290.178,249.202,0.415336667,184.757,0.307928333,10.515,0.017525,0,0,0,0,0,0,0,0,0,0,3.719432836,23.094625,10.515,0,0,0,0
13A,13,E-L1 vs E-L2,U1,thumb,F,2,9,F,Non-Native,603.559,264.119,297.417,0.495695,200.785,0.334641667,259.035,0.431725,197.752,0.329586667,185.132,0.308553333,317.358,0.52893,0,0,0,0,1.376930556,2.256011236,5.887159091,9.8876,23.1415,105.786,0
13B,13,E-L1 vs E-L2,U2,thumb,F,2,9,M,Native,603.567,342.959,279.975,0.466625,234.373,0.390621667,303.243,0.505405,191.618,0.319363333,210.297,0.350495,130.668,0.21778,4.87,0.008116667,0,0,0.952295918,2.17012037,6.891886364,10.64544444,30.04242857,65.334,4.87
13A,13,E-L1 vs E-L2,U1,wing,V,3,9,F,Non-Native,603.865,271.961,252.285,0.420475,295.908,0.49318,178.707,0.297845,263.325,0.438875,286.983,0.478305,132.264,0.22044,0.208,0.000346667,0.208,0.208,1.280634518,3.181806452,4.702815789,15.48970588,57.3966,33.066,0.104
13B,13,E-L1 vs E-L2,U2,wing,V,3,9,M,Native,604.001,273.641,291.515,0.485858333,315.302,0.525503333,283.407,0.472345,4.402,0.007336667,1.072,0.001786667,1.005,0.001675,0,0,0,0,2.010448276,12.61208,28.3407,1.467333333,0.536,1.005,0
