User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0_unitmotion_counts (Threshold = 0.0),0.05_unitmotion_counts (Threshold = 0.05),0.1_unitmotion_counts (Threshold = 0.1),0.15_unitmotion_counts (Threshold = 0.15),0.2_unitmotion_counts (Threshold = 0.2),0.25_unitmotion_counts (Threshold = 0.25),0.3_unitmotion_counts (Threshold = 0.3),0.35_unitmotion_counts (Threshold = 0.35),0.4_unitmotion_counts (Threshold = 0.4),0.45_unitmotion_counts (Threshold = 0.45),0.5_unitmotion_counts (Threshold = 0.5)
52B,52,E-L2 vs E-L2,U2,thumb,A,1,6,M,Non-Native,1,407,137,56,21,7,2,2,0,0,0
52A,52,E-L2 vs E-L2,U1,eye,V,2,6,M,Non-Native,1,394,140,85,49,27,17,10,8,4,1
52B,52,E-L2 vs E-L2,U2,eye,V,2,6,M,Non-Native,1,467,159,70,27,14,7,4,2,1,1
52A,52,E-L2 vs E-L2,U1,wing,F,3,6,M,Non-Native,1,405,113,49,23,12,7,3,0,0,0
52B,52,E-L2 vs E-L2,U2,wing,F,3,6,M,Non-Native,1,512,175,73,28,15,6,3,1,0,0
53A,53,E-L2 vs E-L2,U1,wing,A,1,2,M,Non-Native,1,592,195,64,24,11,5,1,0,0,0
53B,53,E-L2 vs E-L2,U2,wing,A,1,2,M,Non-Native,1,108,50,28,15,7,2,0,0,0,0
53A,53,E-L2 vs E-L2,U1,thumb,V,2,2,M,Non-Native,1,445,111,46,29,15,8,1,1,0,0
53B,53,E-L2 vs E-L2,U2,thumb,V,2,2,M,Non-Native,1,470,138,50,27,14,6,3,0,0,0
53A,53,E-L2 vs E-L2,U1,eye,F,3,2,M,Non-Native,1,574,246,70,12,1,0,0,0,0,0
53B,53,E-L2 vs E-L2,U2,eye,F,3,2,M,Non-Native,1,691,321,148,68,33,16,6,2,2,1
54A,54,E-L2 vs E-L2,U1,eye,A,1,8,F,Non-Native,1,211,35,14,9,2,0,0,0,0,0
54B,54,E-L2 vs E-L2,U2,eye,A,1,8,F,Non-Native,1,456,166,82,55,27,10,2,0,0,0
54A,54,E-L2 vs E-L2,U1,wing,V,2,8,F,Non-Native,1,479,193,97,54,28,10,3,0,0,0
